time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
1,1,0.5,0.25,0.75,All
1.09296,1,0.5,0.25,0.75,All
1.18593,1,0.5,0.25,0.75,All
1.27889,1,0.5,0.25,0.75,All
1.37186,1,0.5,0.25,0.75,All
1.46482,1,0.5,0.25,0.75,All
1.55779,1,0.5,0.333333,0.666667,All
1.65075,1,0.5,0.333333,0.666667,All
1.74372,1,0.5,0.333333,0.666667,All
1.83668,1,0.5,0.333333,0.666667,All
1.92965,1,0.5,0.333333,0.666667,All
2.02261,0.944444,0.527778,0.388889,0.638889,All
2.11558,0.944444,0.527778,0.388889,0.638889,All
2.20854,0.944444,0.527778,0.388889,0.638889,All
2.30151,0.944444,0.527778,0.388889,0.638889,All
2.39447,0.944444,0.527778,0.388889,0.638889,All
2.48744,0.944444,0.527778,0.388889,0.638889,All
2.5804,0.916667,0.520833,0.395833,0.625,All
2.67337,0.916667,0.520833,0.395833,0.625,All
2.76633,0.916667,0.520833,0.395833,0.625,All
2.8593,0.916667,0.520833,0.395833,0.625,All
2.95226,0.916667,0.520833,0.395833,0.625,All
3.04523,0.833333,0.5,0.383333,0.6,All
3.13819,0.833333,0.5,0.383333,0.6,All
3.23116,0.833333,0.5,0.383333,0.6,All
3.32412,0.833333,0.5,0.383333,0.6,All
3.41709,0.833333,0.5,0.383333,0.6,All
3.51005,0.763889,0.472222,0.361111,0.569444,All
3.60302,0.763889,0.472222,0.361111,0.569444,All
3.69598,0.763889,0.472222,0.361111,0.569444,All
3.78894,0.763889,0.472222,0.361111,0.569444,All
3.88191,0.763889,0.472222,0.361111,0.569444,All
3.97487,0.763889,0.472222,0.361111,0.569444,All
4.06784,0.702381,0.440476,0.333333,0.535714,All
4.1608,0.702381,0.440476,0.333333,0.535714,All
4.25377,0.702381,0.440476,0.333333,0.535714,All
4.34673,0.702381,0.440476,0.333333,0.535714,All
4.4397,0.702381,0.440476,0.333333,0.535714,All
4.53266,0.666667,0.40625,0.317708,0.510417,All
4.62563,0.666667,0.40625,0.317708,0.510417,All
4.71859,0.666667,0.40625,0.317708,0.510417,All
4.81156,0.666667,0.40625,0.317708,0.510417,All
4.90452,0.666667,0.40625,0.317708,0.510417,All
4.99749,0.666667,0.40625,0.317708,0.510417,All
5.09045,0.611111,0.388889,0.296296,0.481481,All
5.18342,0.611111,0.388889,0.296296,0.481481,All
5.27638,0.611111,0.388889,0.296296,0.481481,All
5.36935,0.611111,0.388889,0.296296,0.481481,All
5.46231,0.611111,0.388889,0.296296,0.481481,All
5.55528,0.583333,0.366667,0.275,0.458333,All
5.64824,0.583333,0.366667,0.275,0.458333,All
5.74121,0.583333,0.366667,0.275,0.458333,All
5.83417,0.583333,0.366667,0.275,0.458333,All
5.92714,0.583333,0.366667,0.275,0.458333,All
6.0201,0.545455,0.348485,0.261364,0.44697,All
6.11307,0.545455,0.348485,0.261364,0.44697,All
6.20603,0.545455,0.348485,0.261364,0.44697,All
6.29899,0.545455,0.348485,0.261364,0.44697,All
6.39196,0.545455,0.348485,0.261364,0.44697,All
6.48492,0.545455,0.348485,0.261364,0.44697,All
6.57789,0.527778,0.340278,0.25,0.423611,All
6.67085,0.527778,0.340278,0.25,0.423611,All
6.76382,0.527778,0.340278,0.25,0.423611,All
6.85678,0.527778,0.340278,0.25,0.423611,All
6.94975,0.527778,0.340278,0.25,0.423611,All
7.04271,0.5,0.326923,0.25,0.416667,All
7.13568,0.5,0.326923,0.25,0.416667,All
7.22864,0.5,0.326923,0.25,0.416667,All
7.32161,0.5,0.326923,0.25,0.416667,All
7.41457,0.5,0.326923,0.25,0.416667,All
7.50754,0.488095,0.327381,0.244048,0.410714,All
7.6005,0.488095,0.327381,0.244048,0.410714,All
7.69347,0.488095,0.327381,0.244048,0.410714,All
7.78643,0.488095,0.327381,0.244048,0.410714,All
7.8794,0.488095,0.327381,0.244048,0.410714,All
7.97236,0.488095,0.327381,0.244048,0.410714,All
8.06533,0.488889,0.327778,0.244444,0.405556,All
8.15829,0.488889,0.327778,0.244444,0.405556,All
8.25126,0.488889,0.327778,0.244444,0.405556,All
8.34422,0.488889,0.327778,0.244444,0.405556,All
8.43719,0.488889,0.327778,0.244444,0.405556,All
8.53015,0.5,0.322917,0.242188,0.408854,All
8.62312,0.5,0.322917,0.242188,0.408854,All
8.71608,0.5,0.322917,0.242188,0.408854,All
8.80905,0.5,0.322917,0.242188,0.408854,All
8.90201,0.5,0.322917,0.242188,0.408854,All
8.99497,0.5,0.322917,0.242188,0.408854,All
9.08794,0.519608,0.328431,0.25,0.409314,All
9.1809,0.519608,0.328431,0.25,0.409314,All
9.27387,0.519608,0.328431,0.25,0.409314,All
9.36683,0.519608,0.328431,0.25,0.409314,All
9.4598,0.519608,0.328431,0.25,0.409314,All
9.55276,0.537037,0.333333,0.259259,0.416667,All
9.64573,0.537037,0.333333,0.259259,0.416667,All
9.73869,0.537037,0.333333,0.259259,0.416667,All
9.83166,0.537037,0.333333,0.259259,0.416667,All
9.92462,0.537037,0.333333,0.259259,0.416667,All
10.0176,0.54386,0.346491,0.267544,0.427632,All
10.1106,0.54386,0.346491,0.267544,0.427632,All
10.2035,0.54386,0.346491,0.267544,0.427632,All
10.2965,0.54386,0.346491,0.267544,0.427632,All
10.3894,0.54386,0.346491,0.267544,0.427632,All
10.4824,0.54386,0.346491,0.267544,0.427632,All
10.5754,0.558333,0.35625,0.275,0.4375,All
10.6683,0.558333,0.35625,0.275,0.4375,All
10.7613,0.558333,0.35625,0.275,0.4375,All
10.8543,0.558333,0.35625,0.275,0.4375,All
10.9472,0.558333,0.35625,0.275,0.4375,All
11.0402,0.571429,0.369048,0.285714,0.448413,All
11.1332,0.571429,0.369048,0.285714,0.448413,All
11.2261,0.571429,0.369048,0.285714,0.448413,All
11.3191,0.571429,0.369048,0.285714,0.448413,All
11.4121,0.571429,0.369048,0.285714,0.448413,All
11.505,0.587121,0.378788,0.299242,0.462121,All
11.598,0.587121,0.378788,0.299242,0.462121,All
11.691,0.587121,0.378788,0.299242,0.462121,All
11.7839,0.587121,0.378788,0.299242,0.462121,All
11.8769,0.587121,0.378788,0.299242,0.462121,All
11.9698,0.587121,0.378788,0.299242,0.462121,All
12.0628,0.601449,0.391304,0.309783,0.474638,All
12.1558,0.601449,0.391304,0.309783,0.474638,All
12.2487,0.601449,0.391304,0.309783,0.474638,All
12.3417,0.601449,0.391304,0.309783,0.474638,All
12.4347,0.601449,0.391304,0.309783,0.474638,All
12.5276,0.618056,0.402778,0.319444,0.484375,All
12.6206,0.618056,0.402778,0.319444,0.484375,All
12.7136,0.618056,0.402778,0.319444,0.484375,All
12.8065,0.618056,0.402778,0.319444,0.484375,All
12.8995,0.618056,0.402778,0.319444,0.484375,All
12.9925,0.618056,0.402778,0.319444,0.484375,All
13.0854,0.633333,0.413333,0.333333,0.493333,All
13.1784,0.633333,0.413333,0.333333,0.493333,All
13.2714,0.633333,0.413333,0.333333,0.493333,All
13.3643,0.633333,0.413333,0.333333,0.493333,All
13.4573,0.633333,0.413333,0.333333,0.493333,All
13.5503,0.647436,0.423077,0.346154,0.5,All
13.6432,0.647436,0.423077,0.346154,0.5,All
13.7362,0.647436,0.423077,0.346154,0.5,All
13.8291,0.647436,0.423077,0.346154,0.5,All
13.9221,0.647436,0.423077,0.346154,0.5,All
14.0151,0.660494,0.432099,0.354938,0.50463,All
14.108,0.660494,0.432099,0.354938,0.50463,All
