ID,TIME,popPred_medianCOV,cens_popPred_medianCOV,popPred,cens_popPred,indivPred_mean,cens_indivPred_mean,indivPred_mode,cens_indivPred_mode,obsid
7,1,0,1,0,1,0,1,0,1,y1
7,1.02242853060992,0,1,0,1,0,1,0,1,y1
7,1.04536010020516,0,1,0,1,0,1,0,1,y1
7,1.06880599121101,0,1,0,1,0,1,0,1,y1
7,1.09277773910095,0,1,0,1,0,1,0,1,y1
7,1.11728713807222,0,1,0,1,0,1,0,1,y1
7,1.12,0,1,0,1,0,1,0,1,y1
7,1.14234624684855,0,1,0,1,0,1,0,1,y1
7,1.16796739461312,0,1,0,1,0,1,0,1,y1
7,1.19416318707459,0,1,0,1,0,1,0,1,y1
7,1.22094651266913,0,1,0,1,0,1,0,1,y1
7,1.24,0,1,0,1,0,1,0,1,y1
7,1.24833054890161,0,1,0,1,0,1,0,1,y1
7,1.27632876882895,0,1,0,1,0,1,0,1,y1
7,1.30495494768896,0,1,0,1,0,1,0,1,y1
7,1.33422316967777,0,1,0,1,0,1,0,1,y1
7,1.36,0,1,0,1,0,1,0,1,y1
7,1.36414783487935,0,1,0,1,0,1,0,1,y1
7,1.39474366635041,0,1,0,1,0,1,0,1,y1
7,1.42602571736414,0,1,0,1,0,1,0,1,y1
7,1.45800937881658,0,1,0,1,0,1,0,1,y1
7,1.48,0,1,0,1,0,1,0,1,y1
7,1.49071038679892,0,1,0,1,0,1,0,1,y1
7,1.5,0,1,0,1,0,1,0,1,y1
7,1.52414483033977,0,1,0,1,0,1,0,1,y1
7,1.558329159321,0,1,0,1,0,1,0,1,y1
7,1.59328019257117,0,1,0,1,0,1,0,1,y1
7,1.6,0,1,0,1,0,1,0,1,y1
7,1.62901512614043,0,1,0,1,0,1,0,1,y1
7,1.6655515417611,0,1,0,1,0,1,0,1,y1
7,1.70290741549789,0,1,0,1,0,1,0,1,y1
7,1.72,0,1,0,1,0,1,0,1,y1
7,1.74110112659225,0,1,0,1,0,1,0,1,y1
7,1.78015146650499,0,1,0,1,0,1,0,1,y1
7,1.8200776481618,0,1,0,1,0,1,0,1,y1
7,1.84,0,1,0,1,0,1,0,1,y1
7,1.86089931540603,0,1,0,1,0,1,0,1,y1
7,1.9026365526636,0,1,0,1,0,1,0,1,y1
7,1.94530989482457,0,1,0,1,0,1,0,1,y1
7,1.96,0,1,0,1,0,1,0,1,y1
7,1.98894033734643,0,1,0,1,0,1,0,1,y1
7,2,0.189146,1,0.189146,1,0,1,0,1,y1
7,2.03354934658391,0.994387,1,0.994387,1,0,1,0,1,y1
7,2.07915887035056,1.761,1,1.761,1,0,1,0,1,y1
7,2.08,1.77337,1,1.77337,1,0,1,0,1,y1
7,2.12579134871711,2.37749,1,2.37749,1,0,1,0,1,y1
7,2.17346972505212,2.89344,1,2.89344,1,0,1,0,1,y1
7,2.2,3.14308,0,3.14308,0,0,1,0,1,y1
7,2.22221745731019,3.33562,0,3.33562,0,0,1,0,1,y1
7,2.27205852957337,3.72225,0,3.72225,0,0,1,0,1,y1
7,2.32,4.04613,0,4.04613,0,0,1,0,1,y1
