time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
1,0.916667,0.5,0.333333,0.75,All
1.09296,0.916667,0.5,0.333333,0.75,All
1.18593,0.916667,0.5,0.333333,0.75,All
1.27889,0.916667,0.5,0.333333,0.75,All
1.37186,0.916667,0.5,0.333333,0.75,All
1.46482,0.916667,0.5,0.333333,0.75,All
1.55779,0.916667,0.5,0.333333,0.666667,All
1.65075,0.916667,0.5,0.333333,0.666667,All
1.74372,0.916667,0.5,0.333333,0.666667,All
1.83668,0.916667,0.5,0.333333,0.666667,All
1.92965,0.916667,0.5,0.333333,0.666667,All
2.02261,0.777778,0.444444,0.333333,0.611111,All
2.11558,0.777778,0.444444,0.333333,0.611111,All
2.20854,0.777778,0.444444,0.333333,0.611111,All
2.30151,0.777778,0.444444,0.333333,0.611111,All
2.39447,0.777778,0.444444,0.333333,0.611111,All
2.48744,0.777778,0.444444,0.333333,0.611111,All
2.5804,0.708333,0.395833,0.270833,0.53125,All
2.67337,0.708333,0.395833,0.270833,0.53125,All
2.76633,0.708333,0.395833,0.270833,0.53125,All
2.8593,0.708333,0.395833,0.270833,0.53125,All
2.95226,0.708333,0.395833,0.270833,0.53125,All
3.04523,0.616667,0.35,0.25,0.466667,All
3.13819,0.616667,0.35,0.25,0.466667,All
3.23116,0.616667,0.35,0.25,0.466667,All
3.32412,0.616667,0.35,0.25,0.466667,All
3.41709,0.616667,0.35,0.25,0.466667,All
3.51005,0.527778,0.305556,0.208333,0.416667,All
3.60302,0.527778,0.305556,0.208333,0.416667,All
3.69598,0.527778,0.305556,0.208333,0.416667,All
3.78894,0.527778,0.305556,0.208333,0.416667,All
3.88191,0.527778,0.305556,0.208333,0.416667,All
3.97487,0.527778,0.305556,0.208333,0.416667,All
4.06784,0.47619,0.27381,0.190476,0.369048,All
4.1608,0.47619,0.27381,0.190476,0.369048,All
4.25377,0.47619,0.27381,0.190476,0.369048,All
4.34673,0.47619,0.27381,0.190476,0.369048,All
4.4397,0.47619,0.27381,0.190476,0.369048,All
4.53266,0.416667,0.239583,0.166667,0.34375,All
4.62563,0.416667,0.239583,0.166667,0.34375,All
4.71859,0.416667,0.239583,0.166667,0.34375,All
4.81156,0.416667,0.239583,0.166667,0.34375,All
4.90452,0.416667,0.239583,0.166667,0.34375,All
4.99749,0.416667,0.239583,0.166667,0.34375,All
5.09045,0.37963,0.222222,0.148148,0.310185,All
5.18342,0.37963,0.222222,0.148148,0.310185,All
5.27638,0.37963,0.222222,0.148148,0.310185,All
5.36935,0.37963,0.222222,0.148148,0.310185,All
5.46231,0.37963,0.222222,0.148148,0.310185,All
5.55528,0.341667,0.2,0.133333,0.283333,All
5.64824,0.341667,0.2,0.133333,0.283333,All
5.74121,0.341667,0.2,0.133333,0.283333,All
5.83417,0.341667,0.2,0.133333,0.283333,All
5.92714,0.341667,0.2,0.133333,0.283333,All
6.0201,0.310606,0.181818,0.121212,0.261364,All
6.11307,0.310606,0.181818,0.121212,0.261364,All
6.20603,0.310606,0.181818,0.121212,0.261364,All
6.29899,0.310606,0.181818,0.121212,0.261364,All
6.39196,0.310606,0.181818,0.121212,0.261364,All
6.48492,0.310606,0.181818,0.121212,0.261364,All
6.57789,0.284722,0.166667,0.111111,0.243056,All
6.67085,0.284722,0.166667,0.111111,0.243056,All
6.76382,0.284722,0.166667,0.111111,0.243056,All
6.85678,0.284722,0.166667,0.111111,0.243056,All
6.94975,0.284722,0.166667,0.111111,0.243056,All
7.04271,0.262821,0.153846,0.102564,0.237179,All
7.13568,0.262821,0.153846,0.102564,0.237179,All
7.22864,0.262821,0.153846,0.102564,0.237179,All
7.32161,0.262821,0.153846,0.102564,0.237179,All
7.41457,0.262821,0.153846,0.102564,0.237179,All
7.50754,0.244048,0.142857,0.0952381,0.220238,All
7.6005,0.244048,0.142857,0.0952381,0.220238,All
7.69347,0.244048,0.142857,0.0952381,0.220238,All
7.78643,0.244048,0.142857,0.0952381,0.220238,All
7.8794,0.244048,0.142857,0.0952381,0.220238,All
7.97236,0.244048,0.142857,0.0952381,0.220238,All
