rep,ID,time,y2,y2_simBlq_simulated,indivPredSimulated,censored,split,color,filter
1,7,1,1.27,3.09409e-16,0,1,All,#4682B4,0
2,7,1,1.27,2.48077e-16,0,1,All,#4682B4,0
3,7,1,1.27,2.57655e-17,0,1,All,#4682B4,0
4,7,1,1.27,2.20475e-16,0,1,All,#4682B4,0
5,7,1,1.27,2.38573e-16,0,1,All,#4682B4,0
6,7,1,1.27,3.2648e-17,0,1,All,#4682B4,0
7,7,1,1.27,1.58738e-16,0,1,All,#4682B4,0
8,7,1,1.27,1.84159e-16,0,1,All,#4682B4,0
9,7,1,1.27,1.51783e-16,0,1,All,#4682B4,0
10,7,1,1.27,1.5587e-16,0,1,All,#4682B4,0
1,7,1.5,1.27,2.56823e-16,0,1,All,#4682B4,0
2,7,1.5,1.27,9.99832e-18,0,1,All,#4682B4,0
3,7,1.5,1.27,8.88892e-18,0,1,All,#4682B4,0
4,7,1.5,1.27,2.42611e-16,0,1,All,#4682B4,0
5,7,1.5,1.27,2.55309e-16,0,1,All,#4682B4,0
6,7,1.5,1.27,8.716e-17,0,1,All,#4682B4,0
7,7,1.5,1.27,7.31876e-17,0,1,All,#4682B4,0
8,7,1.5,1.27,9.74422e-17,0,1,All,#4682B4,0
9,7,1.5,1.27,1.15258e-16,0,1,All,#4682B4,0
10,7,1.5,1.27,1.89897e-16,0,1,All,#4682B4,0
1,7,2,1.27,1.25161e-16,0,1,All,#4682B4,0
2,7,2,1.27,2.56336e-17,0,1,All,#4682B4,0
3,7,2,1.27,8.56349e-17,0,1,All,#4682B4,0
4,7,2,1.27,1.52633e-16,0,1,All,#4682B4,0
5,7,2,1.27,1.18565e-16,0,1,All,#4682B4,0
6,7,2,1.27,1.22664e-16,0,1,All,#4682B4,0
7,7,2,1.27,3.8529e-16,0,1,All,#4682B4,0
8,7,2,1.27,9.50574e-17,0,1,All,#4682B4,0
9,7,2,1.27,1.20564e-16,0,1,All,#4682B4,0
10,7,2,1.27,3.84331e-16,0,1,All,#4682B4,0
1,7,2.5,1.27,2.28558e-16,0,1,All,#4682B4,0
2,7,2.5,1.27,1.94114e-16,0,1,All,#4682B4,0
3,7,2.5,1.27,3.20981e-17,0,1,All,#4682B4,0
4,7,2.5,1.27,2.14481e-16,0,1,All,#4682B4,0
5,7,2.5,1.27,3.59522e-17,0,1,All,#4682B4,0
6,7,2.5,1.27,4.27781e-16,0,1,All,#4682B4,0
7,7,2.5,1.27,8.84295e-17,0,1,All,#4682B4,0
8,7,2.5,1.27,9.52081e-17,0,1,All,#4682B4,0
9,7,2.5,1.27,3.31474e-16,0,1,All,#4682B4,0
10,7,2.5,1.27,2.10605e-16,0,1,All,#4682B4,0
1,7,3,1.27,2.30951e-16,0,1,All,#4682B4,0
2,7,3,1.27,1.77108e-16,0,1,All,#4682B4,0
3,7,3,1.27,1.39104e-18,0,1,All,#4682B4,0
4,7,3,1.27,1.29997e-16,0,1,All,#4682B4,0
5,7,3,1.27,1.66899e-17,0,1,All,#4682B4,0
6,7,3,1.27,2.07192e-16,0,1,All,#4682B4,0
7,7,3,1.27,1.75802e-17,0,1,All,#4682B4,0
8,7,3,1.27,3.42487e-17,0,1,All,#4682B4,0
9,7,3,1.27,9.56673e-17,0,1,All,#4682B4,0
10,7,3,1.27,1.77964e-16,0,1,All,#4682B4,0
1,7,3.5,1.27,1.39937e-16,0,1,All,#4682B4,0
2,7,3.5,1.27,2.26291e-16,0,1,All,#4682B4,0
3,7,3.5,1.27,1.52523e-16,0,1,All,#4682B4,0
4,7,3.5,1.27,8.52981e-18,0,1,All,#4682B4,0
5,7,3.5,1.27,1.97779e-16,0,1,All,#4682B4,0
6,7,3.5,1.27,2.97287e-16,0,1,All,#4682B4,0
7,7,3.5,1.27,5.05223e-16,0,1,All,#4682B4,0
8,7,3.5,1.27,2.79364e-16,0,1,All,#4682B4,0
9,7,3.5,1.27,4.82882e-17,0,1,All,#4682B4,0
10,7,3.5,1.27,5.54123e-17,0,1,All,#4682B4,0
1,7,4,1.27,9.90213e-17,0,1,All,#4682B4,0
2,7,4,1.27,1.17061e-16,0,1,All,#4682B4,0
3,7,4,1.27,4.68913e-16,0,1,All,#4682B4,0
